name,latitude,longitude,risk_status,distance_km,nearest_conflict_type,nearest_conflict_date,osm_id
Ecole Primaire Imara,-1.3991561,28.8161853,safe,54.05,Battle,2024-01-01,7396262617
Ecole Primaire Itsu,-0.5618659,29.1790784,safe,123.3,Battle,2024-01-01,7396262619
Ecole Primaire Bukombo,-1.3302729,28.7720279,safe,62.5,Battle,2024-01-01,7396262620
Ecole Primaire Bunyole,-1.516239,28.9800899,safe,31.68,Battle,2024-01-01,7396262621
Ecole Primaire Bukange,-0.6560137,29.185039,safe,112.82,Battle,2024-01-01,7396262622
Ecole Primaire Bukimba,-1.708955,28.9626857,safe,28.93,Battle,2024-01-01,7396262623
École Primaire Don Bosco,-1.6200391,29.0147957,safe,23.48,Battle,2024-01-01,7396262624
Ecole Primaire Furaha,0.5169399,29.4525867,safe,244.55,Battle,2024-01-01,7396262625
Ecole Primaire Bwatsinge,-0.5241834,29.1479298,safe,127.66,Battle,2024-01-01,7396262627
Ecole Primaire Bishange,-1.7267775,28.9944264,safe,25.85,Battle,2024-01-01,7396262628
Ecole Primaire Bitonga,-1.7101768,28.9678731,safe,28.38,Battle,2024-01-01,7396262629
Ecole Primaire Birega,-1.4249781,28.8930603,safe,45.42,Battle,2024-01-01,7396262631
Ecole Primaire Buhimba,-1.7098107,28.9814908,safe,26.88,Battle,2024-01-01,7396262632
Ecole Primaire Bohenda,-1.3564632,28.7327558,safe,64.41,Battle,2024-01-01,7396262634
Ecole Primaire Buguri,-1.4257949,28.8922751,safe,45.44,Battle,2024-01-01,7396262635
Ecole Primaire Zawadiletu,-0.4772834,29.316179,safe,133.05,Battle,2024-01-01,7396262636
École Primaire Vutetse,0.062295,29.369302,safe,193.34,Battle,2024-01-01,7396262638
École Primaire Belle Vue,-1.3478977,29.3678393,safe,39.41,Battle,2024-01-01,7396262641
École Primaire Vuhoyo,-0.6268716,29.251915,safe,116.04,Battle,2024-01-01,7396262644
Ecole Primaire Vuhimba,-0.3161439,29.2094849,safe,150.55,Battle,2024-01-01,7396262645
Ecole Primaire Vusanga,-0.2858067,29.2332638,safe,153.92,Battle,2024-01-01,7396262646
École Primaire Vutegha,-0.5401113,29.1844563,safe,125.7,Battle,2024-01-01,7396262647
Ecole Primaire Vulama,-0.473239,29.3333895,safe,133.67,Battle,2024-01-01,7396262648
Ecole Primaire Vungulo,-0.3653722,29.3060623,safe,145.38,Battle,2024-01-01,7396262649
Ecole Primaire Vasimuka,-0.5402861,29.1612575,safe,125.79,Battle,2024-01-01,7396262651
Ecole Primaire Vikohwa,-0.6998864,29.164175,safe,108.05,Battle,2024-01-01,7396262652
École Primaire Viriseke,-0.4767345,29.2905426,safe,132.92,Battle,2024-01-01,7396262653
Ecole Primaire Vikindwe,0.0135975,29.2851587,safe,187.35,Battle,2024-01-01,7396262654
Ecole Primaire Shinda,-1.0991574,29.5227091,safe,71.84,Battle,2024-01-01,7396262655
École Primaire Sifa,0.3256187,29.3544027,safe,222.41,Battle,2024-01-01,7396262656
Ecole Primaire Tumaini Isanza,-2.9586243,28.4344826,safe,68.78,Violence against civilians,2024-01-02,7396262658
Ecole Primaire Rumandi,-0.5211078,29.3244222,safe,128.28,Battle,2024-01-01,7396262662
Ecole Primaire Raha,-3.034738,28.4338007,safe,75.31,Violence against civilians,2024-01-02,7396262663
École Primaire Matcha,-1.571559,29.0559086,safe,21.27,Battle,2024-01-01,7399890652
Ecole Primaire Mbizi,-1.3137938,28.7333976,safe,67.04,Battle,2024-01-01,7399890653
Ecole Primaire Matanda,-1.545021,28.9338553,safe,34.71,Battle,2024-01-01,7399890654
Ecole Primaire Mahwa,-1.7081039,28.9647972,safe,28.68,Battle,2024-01-01,7399890655
Ecole Primaire Masisi Centre,-1.3987477,28.8206176,safe,53.67,Battle,2024-01-01,7399890656
Ecole Primaire Mahanga,-1.3581475,28.6742029,safe,69.88,Battle,2024-01-01,7399890657
Ecole Primaire Lushali,-1.3357292,28.6900619,safe,69.65,Battle,2024-01-01,7399890658
Ecole Primaire Lutangabwa,-1.4373157,28.7734342,safe,55.98,Battle,2024-01-01,7399890659
Ecole Primaire Luke,-1.5035732,28.7350616,safe,56.99,Battle,2024-01-01,7399890660
École Primaire Lukwagara,-1.5462845,28.8689717,safe,41.37,Battle,2024-01-01,7399890661
Ecole Primaire Kinyumba,-1.313571,28.7324914,safe,67.14,Battle,2024-01-01,7399890663
École Primaire Kisimba,-1.6546285,28.8888868,safe,36.84,Battle,2024-01-01,7399890664
Ecole Primaire Kihindo,-1.6298635,29.0305399,safe,21.53,Battle,2024-01-01,7399890665
Ecole Primaire Kihuma,-1.4323432,28.778487,safe,55.74,Battle,2024-01-01,7399890666
Ecole Primaire Kavumba,-0.562769,29.1761902,safe,123.21,Battle,2024-01-01,7399890667
École Primaire Kibancha,-1.5752889,29.0603773,safe,20.63,Battle,2024-01-01,7399890668
Ecole Primaire Katoyi,-1.3747955,28.9905086,safe,41.57,Battle,2024-01-01,7399890669
Ecole Primaire Kausa,-1.4387775,28.9820709,safe,36.88,Battle,2024-01-01,7399890670
Ecole Primaire Kasura,-1.4794726,29.0507004,safe,28.34,Battle,2024-01-01,7399890671
Ecole Primaire Karere,-1.3310803,29.4437267,safe,45.15,Battle,2024-01-01,7399890673
Ecole Primaire Kashenda,-1.7013562,29.0013292,safe,24.55,Battle,2024-01-01,7399890674
Ecole Primaire Kalonge,-1.4778792,29.0408365,safe,29.21,Battle,2024-01-01,7399890675
Ecole Primaire kanyamitalo,-0.2798478,29.23306,safe,154.58,Battle,2024-01-01,7399890676
Ecole Primaire Kakuka,-0.0825227,29.4507679,safe,178.37,Battle,2024-01-01,7399890677
Ecole Primaire Kahulize,-1.4786591,28.9468691,safe,37.07,Battle,2024-01-01,7399890678
Ecole Primaire Kakondo,-1.0815543,29.497648,safe,72.35,Battle,2024-01-01,7399890679
Ecole Primaire Kabase,-1.659253,28.9844431,safe,26.21,Battle,2024-01-01,7399890680
Ecole Primaire Kaadja,-1.3394885,28.7113158,safe,67.44,Battle,2024-01-01,7399890682
École Primaire Mutabo,-1.1620892,29.5001616,safe,64.49,Battle,2024-01-01,7399890684
Ecole Primaire Murambi,-1.6575112,28.9096779,safe,34.52,Battle,2024-01-01,7399893385
École Primaire Murorwa,-1.4864875,28.8152428,safe,49.4,Battle,2024-01-01,7399893386
Ecole Primaire Mumba,-1.5893637,28.8796598,safe,38.88,Battle,2024-01-01,7399893387
Ecole Primaire Munoza,-1.5636047,29.0578986,safe,21.55,Battle,2024-01-01,7399893388
Ecole Primaire Mughote,-0.5194151,29.1623371,safe,128.1,Battle,2024-01-01,7399893389
Ecole Primaire Mughoviro,-0.5283684,29.1562081,safe,127.14,Battle,2024-01-01,7399893390
Ecole Primaire Mubambiro,-1.5774424,29.0703392,safe,19.56,Battle,2024-01-01,7399893391
Ecole Primaire Mihanga,-1.3840273,29.0146005,safe,39.15,Battle,2024-01-01,7399893393
Institut Amkeni,-0.5199276,29.1448877,safe,128.15,Battle,2024-01-01,7402879652
Institut Alimbongo,-0.369249,29.1588416,safe,144.8,Battle,2024-01-01,7402879653
Ecole Primaire Vuvotso,-0.5167682,29.1545592,safe,128.44,Battle,2024-01-01,7402879656
