osm_id,latitude,longitude,addr:city,addr:country,addr:district,addr:housenumber,addr:postcode,addr:province,addr:street,addr:subdistrict,addr:suburb,alt_name,amenity,attribution,barrier,building,check_date,comment,conflict_date,conflict_type,contact:email,contact:facebook,date,denomination,description,education,fixme,grades,is_in:admin_level7,is_in:admin_level8,isced:level,min_age,name,name:en,name:fr,nearest_conflict_dist_km,note,old_name,opening_hours,operator,operator:type,osm_id,osm_type,phone,religion,school:CD,school:gender,short_name,source,source:date,source:name,source_ref,surface,survey:date,type,website,wheelchair,wikidata,wikimedia_commons,wikipedia
5268094520,-4.3423648,15.2734664,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Ecole Le Bambin,,,4.75,,,,,,5268094520,node,,,,,,,,,,,,,,yes,,,
5268094533,-4.3407025,15.2740417,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,C.S. Makanisi,,,4.6,,,,,,5268094533,node,,,,,,,,,,,,,,yes,,,
5268094535,-4.3415009,15.2745607,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,C.S. Les Bambins,,,4.6,,,,,,5268094535,node,,,,,,,,,,,,,,yes,,,
5268094537,-4.3455207,15.2788845,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Lycée Les Arc-Anges,,,4.47,,,,,,5268094537,node,,,,,,,,,,,,,,yes,,,
5268094538,-4.3449162,15.279091,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Lycée Technique Omisalisa,,,4.41,,,,,,5268094538,node,,,,,,,,,,,,,,yes,,,
5268094543,-4.3446515,15.2791983,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,C.S. Saint Michel,,,4.38,,,,,,5268094543,node,,,,,,,,,,,,,,yes,,,
5268094545,-4.343587,15.2808291,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Institut Bokolo,,,4.16,,,,,,5268094545,node,,,,,,,,,,,,,,yes,,,
5268094548,-4.34302,15.2820924,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,C.S. Marie Stella,,,4.02,,,,,,5268094548,node,,,,,,,,,,,,,,yes,,,
5268094578,-4.3483351,15.2872272,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Ecole Conventionel Adventiste,,,4.04,,,,Communauté Adventiste,,5268094578,node,,,,,,,,,,,,,,yes,,,
5268094591,-4.3501903,15.2828649,,,,,,,,,,,school,,,,2026-02-17,,2024-01-03,Strategic development,,,,,,,,,,,,,EP 1 et 2 Ango Ango,,,4.51,,,,,,5268094591,node,,,,,,,,,,,,,,yes,,,
5268176448,-4.341533,15.2753413,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,EP 3 et 4 Institut Makelele,,,4.53,,,,,,5268176448,node,,,,,,,,,,,,,,yes,,,
5287473698,-4.3508536,15.3366405,,,,,,,,,,,school,,,,2023-05-13,,2024-01-03,Strategic development,,,,,,,,,,,,,Complexe scolaire Bienheureux Isidore Bakanja,,,4.53,,,,,,5287473698,node,,,,,,,,,,,,,,,,,
5291677394,-4.3427621,15.317369,,,,,,,,,,,school,,,,2023-05-13,,2024-01-03,Strategic development,,,,,,,,,,,,,La Grâce,,,2.66,,,,,,5291677394,node,,,,,,,,,,,,,,,,,
5292873862,-4.34279,15.3153652,Kinshasa,,,,,Kinshasa,Avenue Bonga,Kalamu,,,school,,,,2023-05-13,,2024-01-03,Strategic development,,,,,,,,,,,,,École Monseigneur Moke,,École Monseigneur Moke,2.6,,,,,,5292873862,node,,,,,,,,,,,,,,yes,,,
